member_casual,day_of_week,jan_ride_count,feb_ride_count,march_ride_count,april_ride_count,may_ride_count,june_ride_count,july_ride_count,aug_ride_count,sept_ride_count,oct_ride_count,nov_ride_count,dec_ride_count
casual,1,2372,7108,14848,25318,34501,64684,41869,52343,64333,39404,17030,6135
member,1,9036,17003,26144,31313,37894,60795,41732,49883,57246,41629,28175,16406
casual,2,4053,6389,10336,19932,24313,30521,37600,29918,51534,21185,10722,7094
member,2,19782,25740,32851,49937,43122,53893,65977,53695,77475,48884,35504,27731
casual,3,3418,7592,9896,19146,19780,30216,36924,29254,35238,24705,10481,5741
member,3,18926,31281,34740,55222,47900,57373,71282,57866,65845,66736,37775,25740
casual,4,4586,6449,9015,11235,33571,39269,46226,34783,42280,27568,9986,4386
member,4,26519,29050,33712,36996,73264,63271,78041,64279,76350,73022,35768,19999
casual,5,4401,8071,8726,11010,28828,35501,40804,41138,43950,29360,8883,4426
member,5,22686,35764,30521,37193,61980,61355,57782,72363,74427,69483,29195,17845
casual,6,3107,6447,9722,14246,39527,40065,49278,53515,47447,31532,16636,4342
member,6,13759,22842,28529,34541,64074,55227,57760,71540,65379,52917,42311,16945
casual,7,2523,5107,20007,30923,50498,60871,67845,77329,62022,42692,19340,6252
member,7,9705,14321,32640,38013,50241,57680,55842,67733,57750,47164,33269,15330
